,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,CentralAir,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,HeatingQC,KitchenQual,FireplaceQu,GarageQual,GarageCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Functional,GarageFinish,Fence,YearBuilt,YearRemodAdd,GarageYrBlt,MoSold,YrSold,LowQualFinSF,MiscVal,PoolQC,PoolArea,MSSubClass,MSZoning,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,Foundation,SaleType,SaleCondition,LotShape,IsRegularLotShape,LandContour,IsLandLevel,LandSlope,IsLandSlopeGentle,Electrical,IsElectricalSBrkr,GarageType,IsGarageDetached,PavedDrive,IsPavedDrive,MiscFeature,HasShed,Remodeled,RecentRemodel,VeryNewHouse,Has2ndFloor,HasMasVnr,HasWoodDeck,HasOpenPorch,HasEnclosedPorch,Has3SsnPorch,HasScreenPorch,HighSeason,NewerDwelling,Neighborhood_Good,SaleCondition_PriceDown,BoughtOffPlan,BadHeating,TotalArea,TotalArea1st2nd,Age,TimeSinceSold,SeasonSold,YearsSinceRemodel,SimplOverallQual,SimplOverallCond,SimplPoolQC,SimplGarageCond,SimplGarageQual,SimplFireplaceQu,SimplFunctional,SimplKitchenQual,SimplHeatingQC,SimplBsmtFinType1,SimplBsmtFinType2,SimplBsmtCond,SimplBsmtQual,SimplExterCond,SimplExterQual,NeighborhoodBin
0,4.189654742026425,9.042040056544483,5.2832037287379885,706,0.0,5.017279836814924,856,6.75343791859778,6.75110146893676,7.444833273892193,548,0.0,4.127134385045092,0.0,0.0,0.0,1,0.0,2,1,3,0.6931471805599453,8,0,2,1.0,7,5,1.6094379124341003,1.3862943611198906,4,3,5,4,0,3,3,0.6931471805599453,6,0.6931471805599453,8,2,0.0,2003,2003,2003.0,2,2008,0.0,0.0,0.0,0.0,5,3,4,5,1.0986122886681098,0.0,5,0.6931471805599453,12,13,1,2,8,4,0.0,1,0.6931471805599453,1,0.0,1,0.6931471805599453,1,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0,1,0,1,1,1,0,1,0.0,0.0,0.0,0.0,9.578657284448841,7.444833273892193,7,2,0,5,3,1.0986122886681098,0.0,1,1,0,4,2,2,2,0.6931471805599453,0.6931471805599453,2,0.6931471805599453,2,2
1,4.394449154672439,9.169622538697624,0.0,978,0.0,5.652489180268651,1262,7.141245122350491,0.0,7.141245122350491,460,5.700443573390687,0.0,0.0,0.0,0.0,0,0.6931471805599453,2,0,3,0.6931471805599453,6,1,2,1.0,6,8,1.3862943611198906,1.3862943611198906,4,3,5,3,3,3,3,1.6094379124341003,5,0.6931471805599453,8,2,0.0,1976,1976,1976.0,5,2007,0.0,0.0,0.0,0.0,0,3,2,24,0.6931471805599453,0.0,2,0.6931471805599453,8,8,2,1,8,4,0.0,1,0.6931471805599453,1,0.0,1,0.6931471805599453,1,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,1,1,0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,9.647756241316175,7.141245122350491,34,3,1,31,2,1.3862943611198906,0.0,1,1,1,4,1,2,2,0.6931471805599453,0.6931471805599453,2,0.6931471805599453,1,3
2,4.23410650459726,9.328212292571072,5.093750200806762,486,0.0,6.075346031088684,920,6.825460036255307,6.7650389767805414,7.488293515159428,608,0.0,3.7612001156935624,0.0,0.0,0.0,1,0.0,2,1,3,0.6931471805599453,6,1,2,1.0,7,5,1.6094379124341003,1.3862943611198906,4,3,5,4,3,3,3,1.0986122886681098,6,0.6931471805599453,8,2,0.0,2001,2002,2001.0,9,2008,0.0,0.0,0.0,0.0,5,3,4,5,1.0986122886681098,0.0,5,0.6931471805599453,12,13,1,2,8,4,0.6931471805599453,0,0.6931471805599453,1,0.0,1,0.6931471805599453,1,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0,1,0,1,1,1,0,1,0.0,0.0,0.0,0.0,9.772410288929185,7.488293515159428,9,2,3,6,3,1.0986122886681098,0.0,1,1,1,4,2,2,2,0.6931471805599453,0.6931471805599453,2,0.6931471805599453,2,2
3,4.110873864173311,9.164401140034737,0.0,216,0.0,6.293419278846481,756,6.8690144506657065,6.6293632534374485,7.4489161025442,642,0.0,3.58351893845611,5.60947179518496,0.0,0.0,1,0.0,1,0,3,0.6931471805599453,7,1,3,1.0,7,5,1.3862943611198906,1.3862943611198906,3,4,4,4,4,3,3,0.6931471805599453,5,0.6931471805599453,8,1,0.0,1915,1970,1998.0,2,2006,0.0,0.0,0.0,0.0,6,3,0,6,1.0986122886681098,0.0,5,0.6931471805599453,13,15,2,0,8,0,0.6931471805599453,0,0.6931471805599453,1,0.0,1,0.6931471805599453,1,6,0.6931471805599453,0.0,1,0.0,0.0,1,0.0,0.0,0,1,1,0,0,1,1,0,0,0.6931471805599453,0.6931471805599453,0.0,0.0,9.648982324778904,7.4489161025442,95,4,0,36,3,1.0986122886681098,0.0,1,1,2,4,2,2,2,0.6931471805599453,1.0986122886681098,1,0.6931471805599453,1,3
4,4.442651256490317,9.565283817736766,5.860786223465865,655,0.0,6.19644412779452,1145,7.044032897274685,6.960347729101308,7.695757990554761,836,5.262690188904886,4.442651256490317,0.0,0.0,0.0,1,0.0,2,1,4,0.6931471805599453,9,1,3,1.0,8,5,1.6094379124341003,1.3862943611198906,4,3,5,4,3,3,3,1.3862943611198906,6,0.6931471805599453,8,2,0.0,2000,2000,2000.0,12,2008,0.0,0.0,0.0,0.0,5,3,2,15,1.0986122886681098,0.0,5,0.6931471805599453,12,13,1,2,8,4,0.6931471805599453,0,0.6931471805599453,1,0.0,1,0.6931471805599453,1,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0,0,0,1,1,1,0,1,0.6931471805599453,0.0,0.0,0.0,10.0209594286763,7.695757990554761,10,2,0,8,3,1.0986122886681098,0.0,1,1,1,4,2,2,2,0.6931471805599453,0.6931471805599453,2,0.6931471805599453,2,4
5,4.454347296253507,9.55506418479516,0.0,732,0.0,4.174387269895637,796,6.680854678790215,6.340359303727752,7.217443431696533,480,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,0.0,1,0.0,1,1,1,0.6931471805599453,5,0,2,1.0,5,5,1.3862943611198906,1.3862943611198906,4,3,5,3,0,3,3,0.6931471805599453,6,0.6931471805599453,8,1,1.3862943611198906,1993,1995,1993.0,10,2009,0.0,6.55250788703459,0.0,0.0,4,3,4,11,1.0986122886681098,0.0,0,0.6931471805599453,12,13,2,5,8,4,0.6931471805599453,0,0.6931471805599453,1,0.0,1,0.6931471805599453,1,2,0.0,0.0,1,1.6094379124341003,0.6931471805599453,1,0.0,0.0,0,1,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,9.872358017339208,7.217443431696533,17,1,3,14,2,1.0986122886681098,0.0,1,1,0,4,1,2,2,0.6931471805599453,0.6931471805599453,2,0.6931471805599453,1,2
6,4.330733340286331,9.218804450388312,5.231108616854587,1369,0.0,5.762051382780177,1686,7.43543801981455,0.0,7.43543801981455,636,5.545177444479562,4.060443010546419,0.0,0.0,0.0,1,0.0,2,0,3,0.6931471805599453,7,1,2,1.0,8,5,1.6094379124341003,1.3862943611198906,5,3,5,4,4,3,3,1.3862943611198906,6,0.6931471805599453,8,2,0.0,2004,2005,2004.0,8,2007,0.0,0.0,0.0,0.0,0,3,4,21,1.0986122886681098,0.0,2,0.6931471805599453,12,13,3,2,8,4,0.0,1,0.6931471805599453,1,0.0,1,0.6931471805599453,1,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0,0,0,1,1,1,0,1,0.6931471805599453,0.0,0.0,0.0,9.8011225458581,7.43543801981455,6,3,2,2,3,1.0986122886681098,0.0,1,1,2,4,2,2,2,0.6931471805599453,0.6931471805599453,2,0.6931471805599453,2,3
7,4.394449154672439,9.247925132303454,5.484796933490655,859,3.4965075614664802,5.37989735354046,1107,7.010311867307229,6.891625897052253,7.645397699428633,484,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,1,0.0,2,1,3,0.6931471805599453,7,2,2,1.0,7,6,1.3862943611198906,1.3862943611198906,4,3,5,3,3,3,3,1.0986122886681098,5,1.6094379124341003,8,2,0.0,1973,1973,1973.0,11,2009,0.0,5.860786223465865,0.0,0.0,5,3,0,14,1.6094379124341003,0.0,5,0.6931471805599453,6,6,3,1,8,4,0.6931471805599453,0,0.6931471805599453,1,0.0,1,0.6931471805599453,1,2,0.0,0.0,1,1.6094379124341003,0.6931471805599453,0,0.0,0.0,0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,0.0,9.811810763964225,7.645397699428633,37,1,3,36,3,1.0986122886681098,0.0,1,1,1,4,1,2,2,1.0986122886681098,0.6931471805599453,2,0.6931471805599453,1,2
8,3.9512437185814275,8.71948076085107,0.0,0,0.0,6.859614903654202,952,6.930494765951626,6.6240652277998935,7.4815557019095165,468,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0,0.0,2,0,2,1.0986122886681098,8,2,2,1.0,7,5,1.3862943611198906,1.3862943611198906,3,3,4,3,3,2,3,0.6931471805599453,1,0.6931471805599453,7,1,0.0,1931,1950,1931.0,4,2008,0.0,0.0,0.0,0.0,4,4,4,17,0.0,0.0,0,0.6931471805599453,3,15,2,0,8,0,0.0,1,0.6931471805599453,1,0.0,1,1.3862943611198906,0,6,0.6931471805599453,0.0,1,0.0,0.0,1,0.0,0.0,0,1,0,1,0,1,1,1,0,0.0,0.6931471805599453,0.0,0.0,9.4244028145542,7.4815557019095165,79,2,1,58,3,1.0986122886681098,0.0,1,1,1,3,1,2,1,0.6931471805599453,0.6931471805599453,1,0.6931471805599453,1,1
9,3.9318256327243257,8.912069097970134,0.0,851,0.0,4.948759890378168,991,6.982862751468942,0.0,6.982862751468942,205,0.0,1.6094379124341003,0.0,0.0,0.0,1,0.0,1,0,2,1.0986122886681098,5,2,1,1.0,5,6,1.3862943611198906,1.3862943611198906,3,3,5,3,3,4,3,0.6931471805599453,6,0.6931471805599453,8,2,0.0,1939,1950,1939.0,1,2008,0.0,0.0,0.0,0.0,14,3,0,3,0.0,0.6931471805599453,1,0.6931471805599453,8,8,2,0,8,4,0.0,1,0.6931471805599453,1,0.0,1,0.6931471805599453,1,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,1,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,9.377209824211215,6.982862751468942,71,2,0,58,2,1.0986122886681098,0.0,1,2,1,4,1,2,2,0.6931471805599453,0.6931471805599453,1,0.6931471805599453,1,1
